iter	Passed	Remaining
0	61	61108
1	61	30610
2	61	20448
3	61	15365
4	61	12312
5	62	10277
6	62	8822
7	62	7734
8	62	6887
9	62	6210
10	62	5651
11	63	5188
12	63	4799
13	63	4469
14	63	4176
15	63	3920
16	63	3696
17	64	3498
18	64	3318
19	64	3156
20	64	3013
21	64	2879
22	64	2757
23	65	2648
24	65	2545
25	65	2452
26	65	2366
27	65	2285
28	65	2207
29	65	2133
30	66	2069
31	66	2009
32	66	1950
33	66	1895
34	66	1843
35	66	1793
36	67	1747
37	67	1706
38	67	1664
39	67	1625
40	67	1587
41	68	1553
42	68	1520
43	68	1487
44	68	1455
45	68	1427
46	69	1400
47	69	1374
48	69	1352
49	69	1326
50	69	1302
51	70	1279
52	70	1256
53	70	1236
54	70	1215
55	70	1194
56	71	1175
57	71	1155
58	71	1137
59	71	1121
60	71	1104
61	71	1087
62	72	1071
63	72	1056
64	72	1041
65	72	1026
66	72	1013
67	72	999
68	73	986
69	73	972
70	73	960
71	73	948
72	73	935
73	73	924
74	73	912
75	74	901
76	74	889
77	74	879
78	74	868
79	74	858
80	74	850
81	75	840
82	75	831
83	75	821
84	75	812
85	75	804
86	75	795
87	75	787
88	76	779
89	76	770
90	76	763
91	76	755
92	76	748
93	76	740
94	76	733
95	77	725
96	77	718
97	77	712
98	77	705
99	77	698
100	77	692
101	78	686
102	78	680
103	78	674
104	78	668
105	78	662
106	78	657
107	78	651
108	79	646
109	79	642
110	79	637
111	79	631
112	79	626
113	79	621
114	80	616
115	80	612
116	80	607
117	80	602
118	80	598
119	80	593
120	81	589
121	81	584
122	81	580
123	81	575
124	81	571
125	81	567
126	81	563
127	82	559
128	82	556
129	82	552
130	82	548
131	82	544
132	83	541
133	83	538
134	83	535
135	83	532
136	83	528
137	84	525
138	84	521
139	84	518
140	84	515
141	84	512
142	84	508
143	85	505
144	85	502
145	85	499
146	85	496
147	85	493
148	85	490
149	86	487
150	86	484
151	86	482
152	86	479
153	86	476
154	86	473
155	86	470
156	87	467
157	87	465
158	87	462
159	87	460
